Symbol,Date,Open,High,Low,Close,Volume
JPM,2024-04-19,182.4000,185.8800,181.4100,185.8000,13402313
JPM,2024-04-18,181.1000,183.3600,179.9700,181.2500,9557720
JPM,2024-04-17,181.3700,182.4199,179.2000,180.0800,9017093
JPM,2024-04-16,182.9000,183.1600,179.6500,180.8000,16451801
JPM,2024-04-15,184.5000,187.4600,182.1950,182.8900,14766592
JPM,2024-04-12,188.3200,188.9300,182.5400,182.7900,31532308
JPM,2024-04-11,196.0000,196.5700,193.2400,195.4300,10137699
JPM,2024-04-10,195.5500,197.0700,194.1800,195.4700,7681377
JPM,2024-04-09,198.0700,198.8800,194.9100,197.1500,6425927
JPM,2024-04-08,197.6200,198.9800,197.6200,198.4800,7976207
JPM,2024-04-05,196.1600,198.1224,195.1100,197.4500,6498212
JPM,2024-04-04,199.1500,199.6800,195.5500,195.6500,9198521
JPM,2024-04-03,199.0400,199.5600,197.7000,198.3000,9282109
JPM,2024-04-02,198.3900,199.7800,198.0800,198.8600,6680105
JPM,2024-04-01,199.9900,200.9400,198.5650,198.9400,6215356
JPM,2024-03-28,199.4900,200.7200,198.5400,200.3000,8628313
JPM,2024-03-27,196.5000,199.6000,196.3800,199.5200,8725757
JPM,2024-03-26,194.5900,196.6600,194.0554,195.7300,5961484
JPM,2024-03-25,196.6000,196.9400,194.3600,194.8200,8620015
JPM,2024-03-22,199.0100,200.4800,196.5400,196.6200,8108840
JPM,2024-03-21,196.5200,199.4300,196.3300,199.0600,11203796
JPM,2024-03-20,194.1900,196.5600,193.6100,196.3300,9367043
JPM,2024-03-19,192.7100,193.9300,192.3800,193.7900,8478717
JPM,2024-03-18,190.6300,192.7000,189.8900,192.6600,9013843
JPM,2024-03-15,186.4800,190.9400,186.4800,190.3000,17214229
JPM,2024-03-14,191.0300,191.6300,187.1030,187.9700,10243134
JPM,2024-03-13,190.3600,191.7300,189.8400,191.3800,7719367
JPM,2024-03-12,188.9500,190.1600,187.9100,189.8400,5503976
JPM,2024-03-11,187.2800,188.4400,186.2200,188.2900,5728082
PFE,2024-08-01,30.7300,30.8100,29.9100,30.6500,39558944
PFE,2024-07-31,31.2000,31.2600,30.4700,30.5400,40978684
PFE,2024-07-30,31.0100,31.5400,29.7800,31.3900,89857470
PFE,2024-07-29,30.6900,30.9300,30.4400,30.7200,41713675
PFE,2024-07-26,30.1500,30.8800,30.0100,30.7700,35657080
PFE,2024-07-25,29.9700,30.9300,29.9700,30.1800,42296212
PFE,2024-07-24,29.5100,29.9900,29.3100,29.9800,29579444
PFE,2024-07-23,29.6200,29.6400,29.3300,29.5000,25528288
PFE,2024-07-22,30.1100,30.2300,29.3800,29.6000,46483174
PFE,2024-07-19,29.9400,30.0000,29.5501,29.9700,30021169
PFE,2024-07-18,29.9100,30.6900,29.6303,29.7100,47279678
PFE,2024-07-17,29.4200,30.3000,29.3100,30.0300,45394967
PFE,2024-07-16,29.2000,29.5600,29.1200,29.5000,26912145
PFE,2024-07-15,29.0300,29.2700,28.8300,29.1000,30534363
PFE,2024-07-12,28.9000,29.1400,28.7900,28.9200,28396983
PFE,2024-07-11,28.7800,29.2300,28.4200,28.6600,47322551
PFE,2024-07-10,27.8300,28.4100,27.8000,28.3500,29873573
PFE,2024-07-09,27.8800,27.9400,27.2950,27.7200,36876747
PFE,2024-07-08,28.0500,28.1200,27.7900,27.9300,25694361
PFE,2024-07-05,27.7600,28.0900,27.6700,28.0500,17268657
PFE,2024-07-03,27.9200,28.0500,27.6150,27.7000,15180087
PFE,2024-07-02,28.2200,28.2800,27.6900,27.8300,21989831
PFE,2024-07-01,27.9500,28.6300,27.9400,28.2200,26208992
PFE,2024-06-28,27.7800,28.1200,27.6400,27.9800,33189215
PFE,2024-06-27,27.3700,27.8300,27.0700,27.8000,28399596
PFE,2024-06-26,27.9100,27.9300,27.0700,27.4200,30745779
PFE,2024-06-25,28.4000,28.4500,27.9300,27.9900,26300713
PFE,2024-06-24,27.9500,28.4050,27.7300,28.3600,35414112
PFE,2024-06-21,27.7700,27.8900,27.5600,27.7400,52561555
PFE,2024-06-20,27.2000,27.9600,27.1500,27.7400,29693363
PFE,2024-06-18,26.9800,27.4600,26.9500,27.4100,29817777
PFE,2024-06-17,27.4500,27.4758,26.8700,26.9800,32194647
PFE,2024-06-14,27.7450,28.2200,27.4300,27.5300,29461921
PFE,2024-06-13,27.5000,27.7200,27.2000,27.6500,33945218
PFE,2024-06-12,28.1700,28.2299,27.5600,27.6600,32507942
PFE,2024-06-11,27.9500,28.3300,27.8900,28.0300,29573536
PFE,2024-06-10,28.3500,28.3500,27.6300,28.0700,37003192
PFE,2024-06-07,28.7500,29.0500,28.5500,28.5800,27526200
PFE,2024-06-06,29.3600,29.5400,28.7900,28.8000,35360443
PFE,2024-06-05,29.5600,29.6200,29.1700,29.5500,27346747
PFE,2024-06-04,29.3000,29.7300,29.1700,29.4900,46309529
PFE,2024-06-03,28.6600,29.5300,28.6400,29.3100,38177233
PFE,2024-05-31,28.3400,28.7500,28.2350,28.6600,78290055
PFE,2024-05-30,27.9100,28.2000,27.7850,28.2000,23330710
PFE,2024-05-29,28.1600,28.1700,27.6900,27.8200,24241730
PFE,2024-05-28,28.8000,28.8800,28.1300,28.3000,32371217
PFE,2024-05-24,28.6650,28.9900,28.5500,28.8800,22589127
PFE,2024-05-23,29.4300,29.4300,28.6700,28.6900,42031325
PFE,2024-05-22,28.4700,29.6300,28.4150,29.6000,46987481
PFE,2024-05-21,28.4700,28.6700,28.3200,28.5600,28119948
PFE,2024-05-20,28.6600,28.7100,28.4600,28.5300,22423283
PFE,2024-05-17,28.8950,28.9100,28.5100,28.6400,26106406
PFE,2024-05-16,28.8700,29.0300,28.6700,28.9200,40077782
PFE,2024-05-15,28.4900,28.9850,28.4800,28.8200,38376257
PFE,2024-05-14,28.5500,28.6800,28.1900,28.3800,23530856
PFE,2024-05-13,28.1900,28.6500,28.1700,28.4400,39609758
PFE,2024-05-10,28.2400,28.2800,27.9200,28.0100,25849775
PFE,2024-05-09,27.7600,28.2500,27.3200,28.1800,47831087
PFE,2024-05-08,27.7000,28.3400,27.5200,28.2700,39087790
PFE,2024-05-07,28.2900,28.4900,27.4000,27.7700,65606379
PFE,2024-05-06,27.9800,28.3250,27.9600,28.1600,59899707
PFE,2024-05-03,27.8600,27.9050,27.5200,27.8100,60568852
PFE,2024-05-02,27.2100,27.9400,27.1200,27.7000,69649012
PFE,2024-05-01,26.3295,27.4500,26.0200,27.1800,97521564
PFE,2024-04-30,25.6500,25.8300,25.5850,25.6200,38017739
PFE,2024-04-29,25.5800,25.8500,25.5400,25.6400,41674405
PFE,2024-04-26,25.3300,25.5400,25.2000,25.4000,46526457
PFE,2024-04-25,26.2700,26.4300,25.2500,25.2600,47661411
PFE,2024-04-24,26.2500,26.3400,26.0400,26.2700,24547780
PFE,2024-04-23,26.3300,26.4700,26.1900,26.3200,24297821
PFE,2024-04-22,26.0000,26.5000,25.9250,26.2600,35678657
PFE,2024-04-19,25.3900,26.0000,25.3500,26.0000,38372801
PFE,2024-04-18,25.3500,25.4600,25.2300,25.3900,35788351
PFE,2024-04-17,25.6900,25.6900,25.2600,25.4200,43828892
PFE,2024-04-16,25.8200,25.9850,25.6800,25.6900,28885313
PFE,2024-04-15,25.9100,26.1700,25.7500,25.9100,35660191
PFE,2024-04-12,26.2500,26.3200,25.8300,25.8600,43034056
PFE,2024-04-11,26.3500,26.4499,26.1300,26.3400,32814471
PFE,2024-04-10,26.5200,26.5900,26.1600,26.3200,44541594
PFE,2024-04-09,26.7700,27.4200,26.6500,26.7800,44526859
PFE,2024-04-08,26.6000,26.8200,26.5200,26.5800,23962544
PFE,2024-04-05,26.5600,26.7000,26.3500,26.6600,39352449
PFE,2024-04-04,27.3100,27.4000,26.6400,26.6500,39712511
PFE,2024-04-03,27.5100,27.7500,27.2000,27.2200,35304141
PFE,2024-04-02,27.5700,27.7500,27.4100,27.5500,30662538
PFE,2024-04-01,27.7600,27.8700,27.5750,27.7200,25362027
PFE,2024-03-28,27.8200,28.1200,27.7200,27.7500,40466657
PFE,2024-03-27,27.7100,27.9350,27.5400,27.7800,34247616
PFE,2024-03-26,27.4500,27.6300,27.3100,27.5900,38220263
PFE,2024-03-25,27.2400,27.4800,27.1000,27.4300,31110645
PFE,2024-03-22,27.4700,27.8400,27.3400,27.3600,28830115
PFE,2024-03-21,27.7500,28.0350,27.6300,27.6600,29633710
PFE,2024-03-20,27.4800,27.7366,27.2100,27.7000,34467959
PFE,2024-03-19,27.6700,27.7800,27.3200,27.6300,29026578
PFE,2024-03-18,28.0100,28.0250,27.6100,27.7200,36226501
PFE,2024-03-15,27.9600,28.2800,27.8600,27.9400,75727854
PFE,2024-03-14,28.2500,28.2800,27.7700,28.1300,35090302
PFE,2024-03-13,28.2900,28.6900,28.1900,28.2200,38262366
